tanggal,region,wt,sm,rf,temp
2026-09-10,indonesia,-5.0,55.0,12.5,28.5
2026-09-11,indonesia,-8.25,50.0,4.2,29.8
2026-09-12,indonesia,-11.5,45.0,0.0,31.2
2026-09-13,indonesia,-13.0,42.0,0.0,31.7
2026-09-14,indonesia,-13.35,40.0,0.0,32.2
2026-09-15,indonesia,0.0,40.0,10.0,30.0
2026-09-17,indonesia,-24.07,39.49,11.87,35.63
2026-09-18,indonesia,-22.78,41.56,14.45,35.11
2026-09-17,kalimantan,-23.69,40.09,12.62,35.48
2026-09-18,kalimantan,-26.22,36.05,7.56,36.49
2026-09-17,sumatera,-23.66,40.14,12.68,35.46
2026-09-18,sumatera,-21.08,44.28,17.85,34.43
2026-09-17,papua,-24.07,39.49,11.87,35.63
2026-09-18,papua,-22.78,41.56,14.45,35.11
2026-09-19,kalimantan,-24.95,38.09,10.11,35.98
2026-09-19,sumatera,-19.54,46.74,20.93,33.81
2026-09-19,papua,-21.42,43.72,17.15,34.57
